iso_code,country,population,,,,,
CHN,China,1425869669,,,,,
IND,India,1419419807,,,,,
USA,United States,338655730,,,,,
IDN,Indonesia,275911001,,,,,
PAK,Pakistan,236890187,,,,,
NGA,Nigeria,219750671,,,,,
BRA,Brazil,215539801,,,,,
BGD,Bangladesh,171597810,,,,,
RUS,Russia,144704438,,,,,
MEX,Mexico,127726286,,,,,
JPN,Japan,123800541,,,,,
ETH,Ethiopia,124100764,,,,,
PHL,Philippines,115972222,,,,,
EGY,Egypt,111387000,,,,,
VNM,Vietnam,98346376,,,,,
IRN,Iran,88686589,,,,,
TUR,Turkey,85456717,,,,,
DEU,Germany,83343468,,,,,
THA,Thailand,71723321,,,,,
GBR,United Kingdom,67562025,,,,,
TZA,Tanzania,65941225,,,,,
FRA,France,64657146,,,,,
ZAF,South Africa,60008262,,,,,
ITA,Italy,58999517,,,,,
MMR,Myanmar,54272634,,,,,
KEN,Kenya,54271712,,,,,
COL,Colombia,51913418,,,,,
KOR,South Korea,51809639,,,,,
ESP,Spain,47550599,,,,,
UGA,Uganda,47557635,,,,,
SDN,Sudan,47157823,,,,,
ARG,Argentina,45566112,,,,,
DZA,Algeria,45069761,,,,,
IRQ,Iraq,44727582,,,,,
AFG,Afghanistan,41382633,,,,,
POL,Poland,40607319,,,,,
UKR,Ukraine,38020314,,,,,
CAN,Canada,38530071,,,,,
MAR,Morocco,37547495,,,,,
SAU,Saudi Arabia,36534863,,,,,
AGO,Angola,35838707,,,,,
UZB,Uzbekistan,34754794,,,,,
PER,Peru,34113413,,,,,
MYS,Malaysia,34024702,,,,,
YEM,Yemen,33869913,,,,,
GHA,Ghana,33624654,,,,,
MOZ,Mozambique,33178322,,,,,
NPL,Nepal,30628819,,,,,
MDG,Madagascar,29774531,,,,,
VEN,Venezuela,28419286,,,,,
CIV,Ivory Coast,28322513,,,,,
CMR,Cameroon,28082256,,,,,
NER,Niger,26433942,,,,,
AUS,Australia,26238110,,,,,
PRK,North Korea,26091311,,,,,
TWN,Taiwan,23900664,,,,,
BFA,Burkina Faso,22806061,,,,,
MLI,Mali,22753279,,,,,
SYR,Syria,22373109,,,,,
LKA,Sri Lanka,21847106,,,,,
MWI,Malawi,20525358,,,,,
ZMB,Zambia,20143549,,,,,
ROU,Romania,19842795,,,,,
CHL,Chile,19608974,,,,,
KAZ,Kazakhstan,19445423,,,,,
ECU,Ecuador,18045297,,,,,
GTM,Guatemala,17899955,,,,,
TCD,Chad,17850204,,,,,
SOM,Somalia,17721357,,,,,
NLD,Netherlands,17576779,,,,,
SEN,Senegal,17418146,,,,,
KHM,Cambodia,16808250,,,,,
ZWE,Zimbabwe,16398141,,,,,
GIN,Guinea,13935339,,,,,
RWA,Rwanda,13849906,,,,,
BEN,Benin,13435456,,,,,
BDI,Burundi,12969970,,,,,
TUN,Tunisia,12378096,,,,,
BOL,Bolivia,12258939,,,,,
BEL,Belgium,11662947,,,,,
HTI,Haiti,11616951,,,,,
JOR,Jordan,11299564,,,,,
DOM,Dominican Republic,11253336,,,,,
CUB,Cuba,11208387,,,,,
SSD,South Sudan,10951797,,,,,
SWE,Sweden,10564056,,,,,
CZE,Czech Republic,10492295,,,,,
HND,Honduras,10468957,,,,,
GRC,Greece,10373559,,,,,
AZE,Azerbaijan,10371262,,,,,
PRT,Portugal,10265539,,,,,
PNG,Papua New Guinea,10186240,,,,,
HUN,Hungary,10096395,,,,,
TJK,Tajikistan,9997338,,,,,
BLR,Belarus,9528022,,,,,
ARE,United Arab Emirates,9458713,,,,,
ISR,Israel,9069503,,,,,
AUT,Austria,8944182,,,,,
TGO,Togo,8895955,,,,,
CHE,Switzerland,8753744,,,,,
SLE,Sierra Leone,8648409,,,,,
LAO,Laos,7553821,,,,,
HKG,Hong Kong,7488780,,,,,
SRB,Serbia,7202767,,,,,
NIC,Nicaragua,6971217,,,,,
LBY,Libya,6829840,,,,,
BGR,Bulgaria,6758029,,,,,
PRY,Paraguay,6798158,,,,,
KGZ,Kyrgyzstan,6654969,,,,,
TKM,Turkmenistan,6450890,,,,,
SLV,El Salvador,6342225,,,,,
SGP,Singapore,5984903,,,,,
DNK,Denmark,5888939,,,,,
SVK,Slovakia,5737880,,,,,
CAF,Central African Republic,5615664,,,,,
FIN,Finland,5541844,,,,,
LBN,Lebanon,5459982,,,,,
NOR,Norway,5443618,,,,,
LBR,Liberia,5328972,,,,,
PSE,Palestine,5277884,,,,,
NZL,New Zealand,5195348,,,,,
CRI,Costa Rica,5187254,,,,,
IRL,Ireland,5031055,,,,,
MRT,Mauritania,4765050,,,,,
OMN,Oman,4591599,,,,,
PAN,Panama,4422191,,,,,
KWT,Kuwait,4278764,,,,,
HRV,Croatia,4025370,,,,,
GEO,Georgia,3740243,,,,,
ERI,Eritrea,3698572,,,,,
URY,Uruguay,3422879,,,,,
